,whub_score
China,0.16617809126194924
Mexico,0.0819108832736217
Canada,0.07275320381427348
Germany,0.05819071619796579
Japan,0.0521591500513804
USA,0.04719373357593536
South Korea,0.03511800601570197
"Other Asia, nes",0.02553859004482946
France,0.024417464715334913
Italy,0.023951335674307475
