,waut_score
USA,0.18447927334908307
Hong Kong,0.061080926812053134
China,0.04686315858767732
Japan,0.046022009919023006
Germany,0.04321066449647946
South Korea,0.032961083989899685
United Kingdom,0.030841313407843043
Mexico,0.030513504888239246
Canada,0.02941638159365732
France,0.027598667961033857
