,hub_score
Italy,0.006599199452071714
Germany,0.006592365238892385
Netherlands,0.006589732447242655
United Kingdom,0.0065743865122221265
Brazil,0.006572098505158747
Spain,0.006566146384689982
India,0.006563819932524408
Belgium,0.006560958502822557
Sweden,0.006552982921306202
France,0.0065526987825540095
