,aut_score
South Africa,0.00679469275067498
France,0.0067855858820817655
Poland,0.006780890773699669
Germany,0.006780817342691724
Indonesia,0.00677175535459668
Czechia,0.006771338687295736
United Kingdom,0.00676746892186013
Thailand,0.006767185554724181
Belgium,0.006764317480963065
Spain,0.006757360704472191
